Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Perfora,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",Sauce.vc,"$260,000.00",Pre-seed
Unbox Robotics,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"3one4 Capital, Sixth Sense Ventures","$7,000,000.00",Series A
Ninety One,Ahmedabad,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",A91 Partners,"$30,000,000.00",Series A
Gobillion,New Delhi,Social commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"YCombinator, Justin Mateen, Pioneer Fund","$2,900,000.00",Seed
RIPPLR,Bangalore,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Sojitz Corporation, Stride Ventures","$12,000,000.00",Pre-series B
SK Finance,Jaipur,Financial Services,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,"IIFL Wealth, TPG Growth, Norwest Venture Partners","$53,000,000.00",Series F
Eggoz,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Nabventures, Avaana Capital","$3,500,000.00",Series A
Fabriclore,Jaipur,Apparel & Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Fluid Ventures, Mulberry Silks","$700,000.00",Pre-series A
Veefin,Mumbai,Information Technology & Services,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.",Rajesh Rajendran,"$3,000,000.00",
Verandah,Mumbai,Apparel & Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,"Mike Novogratz, Neeraj Arora","$1,000,000.00",Seed
Karkinos Healthcare,Mumbai,Hospital & Health Care,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.",Reliance Digital Health,$nan,
OWO Technologies,Gurugram,Food & Beverages,An ecommerce startup offering online beverages and packaged drinking water,,"$3,000,000.00",Seed
EsportsXO,Bangalore,Mobile Games,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,We Founder Circle,"$1,100,000.00",Seed
Zorgers,Mohali,Hospital & Health Care,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,Ritu Marya Family Office.,$nan,
BangDB,Bangalore,Computer Software,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,Ten Innovate,$nan,
Neobank Jupiter,Mumbai,Banking,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,"Tiger Global, Sequoia Capital","$86,000,000.00",Series C
Skippi Ice Pops,Hyderabad,Food Production,India's First Icepops Brand,Shark Tank India,"$130,000.00",
Glii,Noida,Dating,India’s finest dating companionship application,We Founder Circle,"$10,000.00",Seed
GlobalBees,New Delhi,E-commerce,Globalbees partners with entrepreneurs who have built an online-first business.,"Premji Invest, Steadview Capital","$111,000,000.00",Series B
Mamaearth,Gurugram,Health,Baby and mother care brand,Sequoia,"$37,000,000.00",
SecureNow,Gurugram,Insurance,SecureNow is an award winning tech-enabled insurance intermediary.,Apis Insurtech Fund I,"$6,000,000.00",Series B
Vendor Infra,Gurugram,Construction,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities","SK Tripathi, Sanjeev Gupta","$265,000.00",
Hakuna Matata,Chennai,Information Technology & Services,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,Hardcastle Petrofer,"$1,000,000.00",
OneCard,Pune,Financial Services,"India's finest and smartest metal credit card, reimagined for the mobile generation.","Ocean View Investment, QED Fund","$76,000,000.00",
Doubtnut,Gurugram,EdTech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Omidyar Network, Tencent Holdings","$30,000,000.00",Series B
Hubhopper,New Delhi,Podcast,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms","ITI Growth Opportunities Fund, Unit-E Ventures",$nan,
Infra.Market,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"InnoVen Capital, Nexus Venture Partners","$100,000,000.00",Series C
Comofi Medtech,Bangalore,HealthTech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",CIIE.CO,"$200,000.00",
Battery Smart,New Delhi,Battery,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,Orios Venture Partners,$nan,Seed
Kutuki,Bangalore,EdTech,Kutuki is a learning platform focused on children between the ages of three and seven.,Omidyar Network India,"$2,000,000.00",Seed
Onelife,Mumbai,HealthCare,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Wipro venture capital arm,$nan,
Eupheus,New Delhi,EdTech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Yuj Ventures, Sixth Sense Ventures","$4,000,000.00",Series B
KreditBee,Bangalore,FinTech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital","$75,000,000.00",Series C
Pencil,Mumbai,Content publishing,Pencil is a content publishing platform that enables writers to publish their work for free.,"Inflection Point Ventures, SucSEED Venture Partners","$1,000,000.00",Pre-series A
Aisle,Bangalore,Dating,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,"Anas Rahman Junaid, Vinod Jose",$nan,Pre-series A
Marquee Equity,Mumbai,FinTech,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,"Capital One, Arrowroot Capital","$3,800,000.00",
UptimeAI,Bangalore,AI,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",YourNest Venture Capital,"$1,500,000.00",Seed
WizKlub,Bangalore,EdTech,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Incubate Fund India,"$800,000.00",Pre-series A
