Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Zolve,Bangalore,FinTech,Zolve Innovations operates as a neo-banking startup.,"Kunal Shah, Greg Kidd","$15,000,000.00",Seed
MediBuddy,Bangalore,EdTech,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","InnoVen Capital, TEAMFund","$3,000,000.00",Debt
Pariksha,Pune,EdTech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Venture Catalysts, 9Unicorns Accelerator Fund","$2,000,000.00",Pre-series A
Express Stores,Gurugram,E-commerce,Express Stores is a retail and omnichannel startup company,"Venture Highway, Rohit Bansal","$1,000,000.00",Seed
Avataar Ventures,Bangalore,FinTech,Avataar Venture Partners is a growth Capital Investment Firm.,,"$100,000,000.00",
Zingbus,Haryana,Transportation,Zingbus is an emerging brand in the intercity bus services.,"Venture Catalysts, 9Unicorns Accelerator Fund",$nan,Pre-series A
Phable,Bangalore,HealthTech,Mobile App for Patients and Doctors,"Fresco Capital, Social Starts","$12,000,000.00",Series A
Codingal,Bangalore,EdTech,Coding education platform for K-12 students,"Y Combinator, Rebright Partners",$nan,
Supply6,Bangalore,Helathcare,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rohit Goutamchand, India CXO Fund","$100,000.00",Seed
Swajal,Gurugram,Water purification,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Rajasthan Venture Capital Fund, ACPL Exports","$1,600,000.00",Pre-series A
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Amplo, Insight Partners","$100,000,000.00",Series D
Filo,New Delhi,EdTech,Instant learning platform for students while self study.,Better Capital,"$260,000.00",Pre-seed
Method & Madness,Mumbai,Real Estate,Method & Madness Technology operates as a real-estate tech company.,Justin Mateen,"$2,000,000.00",Seed
EduFund,Gujarat,FinTech,Changing the way Indians evaluate and plan higher education,View Trade Holding Corp,"$300,000.00",Pre-seed
Pepperfry,Mumbai,E-commerce,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"InnoVen Capital, Bertelsmann India Investments","$30,000,000.00",Debt
Zingavita,Chandigarh,HealthTech,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.",Anicut Angel Fund,"$400,000.00",
Hypd Store,New Delhi,Content commerce,"A shop worthy content platform, personalized!",ScoopWhoop,$nan,Pre-seed
VerSe Innovation,Bangalore,Innovation Management,Owner of Dailyhunt App and I-Pay,"Canaan Valley Capital, Glade Brook Capital Partners","$1,000,000,000.00",Series H
Supersourcing,Indore,Software,Build your next app or website with our exclusive network of certified IT companies.,"Vijay Shekhar Sharma, Dr Ritesh Malik","$200,000.00",Seed
AutomataPi,Powai,Automation,AutomataPi is a next generation cognitive business process automation engine.,Indian Angel Network,"$400,000.00",Seed
Newton School,Bangalore,EdTech,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"RTP Global, Harshil Mathur","$5,000,000.00",Series A
TenderCuts,Chennai,Food Industry,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.","Paragon Partners, NABVENTURES","$15,000,000.00",
Siply,Bangalore,FinTech,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,"$1,000,000.00",Seed
SarvaGram,Mumbai,FinTech,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,Elevation Capital,"$10,000,000.00",Series B
Unlu,Gurugram,Celebrity Engagement,Personalised Video Shoutout from top celebrities,EXPERT DOJO,"$1,000,000.00",Seed
GlobalFair,Gurugram,Trading platform,One-stop solution for all your procurement needs,"Saama Capital, India Quotient","$2,000,000.00",Seed
Eduvanz,Mumbai,FinTech,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.","InCred Financial Services, Vivriti Capital, Northern Arc Capital","$10,000,000.00",Debt
OwO,Gurugram,E-commerce,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",ah! Ventures,"$200,000.00",
Progcap,New Delhi,FinTech,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,"Somak Ghosh, M V Nair","$1,000,000.00",Debt
ABL Workspaces,New Delhi,Hospitality,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,Wurk,"$600,000.00",Pre-series A
Nazara Technologies,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Plutus Wealth Management, Turtle Entertainment","$10,000,000.00",
Scentials,Mumbai,Personal Care,Scentials is building a unique beauty brands studio platform,"Ambiga Subramanian, Goutham Ekollu","$6,000,000.00",
SplashLearn,Gurugram,EdTech,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,"Accel, Owl Ventures","$18,000,000.00",Series C
Maya,Bangalore,HealthTech,Maya enables women to keep track of their health via a mobile application.,Rajan Anadan,"$2,200,000.00",Seed
GoTo,Ghaziabad,Transportation,Real Time Intercity City Transit Platform For 1.25 Bn People In India,Jesse Lucas,"$150,000.00",
MediBuddy,Bangalore,HealthTech,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"IDFC Private Equity, Bessemer Venture Partners","$40,000,000.00",Series B
Zetwerk,Bangalore,E-commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Sequoia Capital India, Accel","$120,000,000.00",Series D
Remedico,Hyderabad,HealthCare,Remedico is a Mobile healthcare,"Venture Catalysts, Tahseen Consulting","$500,000.00",
PrepBytes,Gurugram,EdTech,PrepBytes helps college students to learn coding by personalizing their content along with the guidance of expert mentors from industry,Equanimity Ventures,$nan,
SATYA MicroCapital,New Delhi,FinTech,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability.,"BlueOrchard Finance S A, Gojo & Company","$20,000,000.00",
YourPhysio,Nagpur,HealthTech,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Better Capital, Titan Capital","$350,000.00",Pre-seed
Aviom Housing Finance,New Delhi,FinTech,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Gojo & Company,"$1,000,000.00",Debt
Hemp Horizons,Noida,Cannabis startup,Cannabis and Hemp company,Mumbai Angels,"$200,000.00",Seed
MPL,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners","$95,000,000.00",
Koo,Bangalore,Blogging,Koo App operates as a microblogging app.,"3one4 Capital, Accel","$4,100,000.00",Series A
InnerHour,Mumbai,HealthCare,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,"Hitesh Oberoi, Lightbox","$5,200,000.00",Series A
Origo,Gurugram,AgriTech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",YES Bank,"$10,000,000.00",Debt
ExMyB,Gurugram,Consulting,ExMyB provides financial service and consulting services.,Campus Fund,$nan,Seed
Elucidata,New Delhi,BioTechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,Hyperplane Venture Capital,"$5,000,000.00",Pre-series A
Saveo,Bangalore,HealthTech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Matrix Partners India, RTP Global","$4,000,000.00",Seed
Qin1,Noida,EdTech,Re-imagining Kids of 21st Century!,Venture Catalysts,$nan,Pre-series A
DotPe,Gurugram,FinTech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Info Edge, Ruizheng Investment","$8,000,000.00",Seed
Taskmo,Bangalore,B2B Marketplace,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,Quess Corp India,"$1,400,000.00",
MasterMentors,West Bengal,EdTech,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,,"$1,500,000.00",
KIKO TV,Mumbai,E-commerce,KIKO TV is an AI-based short live video e-commerce platform.,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",$nan,Pre-series A
Quali55Care,Mumbai,HealthCare,Deliver highly durable & affordable medical equipments on rental and sale.,India Accelerator’s Angel Investor Network,$nan,Seed
Ruptok,New Delhi,FinTech,Ruptok operates as a fintech platform for gold loans,Wurk,"$10,000,000.00",
RevFin,New Delhi,FinTech,RevFin is a digital lending company.,Shell Foundation,$nan,
SeeVC,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,Jimmy Singh,"$1,000,000.00",Seed
Junio,New Delhi,EdTech,Junio is a kids-focused digital pocket money-smart card.,"Kunal Shah, Deepak Abbot","$1,000,000.00",
VenWiz,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,"Accel, Nexus Venture","$300,000.00",Seed
Vista Rooms,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Singapore Angel Network, Artha India Ventures","$1,000,000.00",
Makers Hive,Hyderabad,Tech Startup,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable","Starfish Growth Partners, Investpad","$9,000,000.00",
Headfone,Bangalore,Social audio,Headfone helps create and share the audio content with listeners.,Hashed,"$3,000,000.00",Seed
Zouk,Mumbai,Fashion & Lifestyle,100% Vegan bags from India.,Titan Capital,$nan,Seed
MPL,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners","$5,000,000.00",
GrowFix,Bangalore,FinTech,Building high-yield Debt assets for retail investors,"Zerodha's Rainmatter Capital, Better Capital","$2,000,000.00",Seed
Bombay Shaving Company,New Delhi,Fashion & Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Sixth Sense Ventures, Colgate Palmolive","$6,000,000.00",
Dunzo,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Lightbox, Evolvence India Fund","$40,000,000.00",Series E
BeyondSkool,Mumbai,EdTech,BeyondSkool is a live upskilling platform for kids,Tomorrow Capital,"$2,000,000.00",Seed
Mindler,New Delhi,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,"Inflection Point Ventures, DLabs","$1,000,000.00",Pre-series A
Fashinza,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Accel Partners, Elevation Capital","$2,600,000.00",Seed
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"InnoVen Capital, Steadview Capital","$6,000,000.00",Debt
Turnip,Bangalore,Gaming,Turnip is a live game streaming and community platform.,Elevation Capital,"$1,600,000.00",Seed
Furlenco,Bangalore,Home Decor,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,BlackSoil Capital,"$2,000,000.00",
Inficold,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,Shell Foundation,"$900,000.00",Pre-series A
KIWI,New Delhi,TaaS startup,"A peer to peer support network, which would enable billions of users across the world","PointOne Capital, Core91 VC","$250,000.00",Seed
Digit Insurance,Bangalore,FinTech,Digit Insurance is a financial services company that general insurance services.,"A91 Partners, Faering Capital",$nan,
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"InnoVen Capital, Steadview Capital","$10,000,000.00",Debt
MFine,Bangalore,HealthCare,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Blockchain Capital, SBI Ven Capital","$16,000,000.00",
Udayy,Gurgaon,EdTech,Interactive learning platform for kids,Alpha Wave Incubation,"$2,500,000.00",Seed
Lohum,Noida,EV,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,"Baring Private Equity Partners India, Talbros","$7,000,000.00",
Darwinbox,Hyderabad,HRTech,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Sequoia Capital India, 3one4 Capital","$15,000,000.00",
DeHaat,Patna,AgriTech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Prosus Ventures, RTP Global","$30,000,000.00",Series C
Samunnati,Chennai,AgriTech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,"U.S. International Development Finance Corp, responsAbility","$10,000,000.00",Debt
