Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Cred,Bangalore,FinTech,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,"DST Global, General Catalyst",81000000.0,Series C,2021
Devic Earth,Bangalore,Pollution control equiptment,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Blue Ashva Capital,1000000.0,,2021
Zerone,Gurgaon,FinTech,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Anthill Ventures,1300000.0,Pre-series A,2021
boAt,Mumbai,Fashion & Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"InnoVen Capital, InnoVen Capita",100000000.0,PE,2021
Pocket Aces,Mumbai,Media,Pocket Aces is a digital entertainment company focused on mobile video.,"3one4 Capital, DSP Group",2000000.0,,2021
Kyt,Bangalore,EdTech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",Alpha Wave Incubation,5000000.0,Series A,2021
iMumz,Bangalore,HealthCare,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Enzia Ventures, AngelList",300000.0,,2021
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Steadview Capital, Insight Partners",8200000.0,Debt,2021
CropIn,Bangalore,AgriTech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,"Invested Development, Pratithi Investment Trust",20000000.0,Series C,2021
Vanity Wagon,Haryana,Cosmetics,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.","Dhianu Das, Agility Venture Partners",200000.0,Seed,2021
Oyo,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,7000000.0,Series F1,2021
Agri10x,Pune,AgriTech,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,Omnivore,0.0,Seed,2021
BlackSoil,Mumbai,FinTech,Blacksoil Advisory is an independent boutique advisory firm.,Awign Enterprises,4000000.0,,2021
HobSpace,Mumbai,EdTech,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Siddharth Bhaskar Shah, Upsparks",100000.0,Pre-series A1,2021
DcodeAI,New Delhi,EdTech,EMPOWER LEARNERS TO BE FUTURE READY USING AI,S Chand,500000.0,,2021
Biocon Biologics,Bangalore,BioTechnology,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.","Goldman Sachs, Tata Capital",70000000.0,,2021
KiranaKart,Mumbai,E-commerce,A better model for instant grocery delivery in India.,Global Founders Capital,720000.0,Pre-seed,2021
Meddo,Gurgaon,HealthCare,Meddo is an end-to-end medical services provider,"growX ventures, Venture Gurukool",3000000.0,Pre-series A,2021
